stream,year,date,doy,rm_upper,rm_lower,rm_length,redds,survey_type,flow,method
"Skokomish River, NF",2010,2010-05-23,143,12.3,9,3.3,1,INDX,Low,F&SN
"Skokomish River, NF",2010,2010-06-07,158,15.6,13.3,2.3,1,INDX,Low,F&SN
"Skokomish River, NF",2010,2010-06-07,158,13.3,12.7,0.6,1,INDX,Low,F&SN
Dewatto River,2010,2010-03-01,60,3,1.8,1.2,1,INDX,Medium,FOOT
Dewatto River,2010,2010-03-08,67,3,1.8,1.2,1,INDX,Low,FOOT
Vance Creek (SF Skok trib),2010,2010-03-10,69,1.7,0,1.7,1,INDX,Low,FOOT
Tahuya River,2010,2010-03-11,70,10,7.5,2.5,1,INDX,Low,FOOT
Tahuya River,2010,2010-03-15,74,2.6,1,1.6,1,INDX,Medium,FOOT
"Skokomish River, NF",2010,2010-05-20,140,13.3,12.7,0.6,1,INDX,Medium,FOOT
"Skokomish River, SF",2010,2010-05-21,141,21.1,21,0.1,1,INDX,Medium,FOOT
Union River,2010,2010-03-17,76,1.7,0.3,1.4,1,INDX,Low,FOOT
Dewatto River,2010,2010-03-22,81,3,1.8,1.2,1,INDX,Low,FOOT
Dewatto River,2010,2010-04-12,102,3,1.8,1.2,1,INDX,Low,FOOT
Tahuya River,2010,2010-04-12,102,7.5,5,2.5,1,INDX,Low,FOOT
Tahuya River,2010,2010-04-12,102,1,0.6,0.4,1,SUPP,Low,FOOT
Tahuya River,2010,2010-04-12,102,2.6,1,1.6,1,INDX,Low,FOOT
Tahuya River,2010,2010-04-12,102,5,2.6,2.4,1,INDX,Low,FOOT
Dewatto River,2010,2010-04-19,109,3,1.8,1.2,1,INDX,Low,FOOT
Tahuya River,2010,2010-04-20,110,7.5,5,2.5,1,INDX,Low,FOOT
Skokomish R. Cont. As N.F. Skokomish R. @ R.M. 9.0,2010,2010-04-23,113,9,8,1,1,INDX,Medium,RAFT
"Skokomish River, SF",2010,2010-05-17,137,0.8,0,0.8,1,INDX,Medium,RAFT
Tahuya River,2010,2010-05-21,141,2.6,1,1.6,1,INDX,Low,FOOT
Cedar Creek (SFSkok trib),2010,2010-05-19,139,0.1,0,0.1,1,SUPP,Low,FOOT
LeBar Creek (SF Skok trib),2010,2010-05-19,139,0.1,0,0.1,1,SUPP,Medium,FOOT
"Skokomish River, SF",2010,2010-05-25,145,13.5,10,3.5,1,INDX,High,FOOT
LeBar Creek (SF Skok trib),2010,2010-05-26,146,0.5,0,0.5,1,SUPP,Medium,FOOT
Little Quilcene River,2010,2010-04-07,97,3,1.8,1.2,1,INDX,Medium,FOOT
Duckabush River,2010,2010-04-01,91,4.3,0,4.3,1,SUPP,Medium,FOOT
Duckabush River,2010,2010-04-02,92,3,2.6,0.4,1,SUPP,Medium,FOOT
Tahuya River,2010,2010-03-23,82,12,11,1,1,SUPP,Medium,FOOT
Little Quilcene River,2010,2010-04-22,112,5.3,4.3,1,1,INDX,Medium,FOOT
"Skokomish River, SF",2010,2010-06-08,159,17,15,2,1,INDX,Medium,FOOT
"Skokomish River, SF",2010,2010-04-15,105,9,8,1,1,INDX,High,FOOT
"Skokomish River, SF",2010,2010-04-15,105,2.2,0.8,1.4,1,INDX,High,FOOT
"Skokomish River, SF",2010,2010-04-26,116,9,8,1,1,INDX,Medium,FOOT
"Skokomish River, SF",2010,2010-04-26,116,0.8,0,0.8,1,INDX,Medium,FOOT
"Skokomish River, NF",2010,2010-05-05,125,12.7,9,3.7,1,INDX,Medium,FOOT
Duckabush River,2010,2010-04-23,113,2.3,2,0.3,1,PART,High,FOOT
Duckabush River,2010,2010-04-23,113,2.6,2.3,0.3,1,INDX,High,FOOT
Dewatto River,2010,2010-03-04,63,3.3,3,0.3,1,SUPP,Medium,FOOT
Snow Creek,2010,2010-03-11,70,0.8,0,0.8,1,INDX,Medium,FOOT
Snow Creek,2010,2010-03-25,84,0.8,0,0.8,1,INDX,Medium,FOOT
"Skokomish River, MS",2010,2010-03-25,84,8,6.3,1.7,1,INDX,Low,BOAT
"Skokomish River, MS",2010,2010-05-18,138,6.3,5.8,0.5,1,INDX,Medium,RAFT
LeBar Creek (SF Skok trib),2010,2010-05-19,139,0.1,0,0.1,1,SUPP,Medium,FOOT
LeBar Creek (SF Skok trib),2010,2010-05-26,146,0.5,0,0.5,1,SUPP,Medium,FOOT
Little Quilcene River,2010,2010-03-26,85,2.7,0,2.7,2,INDX,Low,FOOT
"Skokomish River, MS",2010,2010-04-23,113,8,6.3,1.7,2,INDX,Medium,RAFT
Duckabush River,2010,2010-05-08,128,2.3,1.1,1.2,2,INDX,Medium,F&SN
Little Quilcene River,2010,2010-05-12,132,3,2.7,0.3,2,INDX,Medium,FOOT
"Skokomish River, MS",2010,2010-05-23,143,8,6.3,1.7,2,INDX,High,RAFT
Tahuya River,2010,2010-03-03,62,10,7.5,2.5,2,INDX,Medium,FOOT
Dewatto River,2010,2010-03-15,74,3,1.8,1.2,2,INDX,Low,FOOT
"Skokomish River, NF",2010,2010-05-20,140,15.6,13.3,2.3,2,INDX,Medium,FOOT
Union River,2010,2010-03-17,76,3,1.7,1.3,2,INDX,Low,FOOT
Tahuya River,2010,2010-03-23,82,8.5,7.5,1,2,INDX,Low,FOOT
Tahuya River,2010,2010-03-23,82,5,2.6,2.4,2,INDX,Low,FOOT
Union River,2010,2010-04-01,91,1.7,0.3,1.4,2,INDX,Medium,FOOT
Union River,2010,2010-04-01,91,3,1.7,1.3,2,INDX,Medium,FOOT
Tahuya River,2010,2010-05-07,127,2.6,1,1.6,2,INDX,Low,FOOT
Skokomish R. Cont. As N.F. Skokomish R. @ R.M. 9.0,2010,2010-05-17,137,5.3,2.8,2.5,2,INDX,Medium,RAFT
"Skokomish River, SF",2010,2010-05-11,131,13.5,10,3.5,2,INDX,Medium,FOOT
"Skokomish River, SF",2010,2010-06-21,172,5,2.2,2.8,2,INDX,Low,FOOT
LeBar Creek (SF Skok trib),2010,2010-05-18,138,0.5,0,0.5,2,SUPP,Medium,FOOT
Little Quilcene River,2010,2010-03-17,76,1.8,0,1.8,2,INDX,Medium,FOOT
Little Quilcene River,2010,2010-04-07,97,4.3,3,1.3,2,INDX,Medium,FOOT
Duckabush River,2010,2010-03-25,84,6,4.8,1.2,2,SUPP,Medium,FOOT
Little Quilcene River,2010,2010-04-22,112,3,1.8,1.2,2,INDX,Medium,FOOT
Little Quilcene River,2010,2010-04-22,112,4.3,3,1.3,2,INDX,Medium,FOOT
Vance Creek (SF Skok trib),2010,2010-04-12,102,1.7,0,1.7,2,SUPP,Medium,FOOT
"Skokomish River, SF",2010,2010-04-15,105,5,2.2,2.8,2,INDX,High,FOOT
"Skokomish River, NF",2010,2010-05-06,126,13.3,12.7,0.6,2,INDX,Medium,FOOT
Duckabush River,2010,2010-04-13,103,4.3,0,4.3,2,SUPP,Medium,FOOT
Duckabush River,2010,2010-05-06,126,4.3,0,4.3,2,SUPP,High,FOOT
"Skokomish River, MS",2010,2010-04-23,113,8,6.3,1.7,2,INDX,Medium,RAFT
"Skokomish River, MS",2010,2010-05-23,143,8,6.3,1.7,2,INDX,High,RAFT
LeBar Creek (SF Skok trib),2010,2010-05-18,138,0.5,0,0.5,2,SUPP,Medium,FOOT
"Skokomish River, MS",2010,2010-05-08,128,8,6.3,1.7,3,INDX,Medium,RAFT
Tahuya River,2010,2010-04-29,119,5,2.6,2.4,3,INDX,Low,FOOT
"Skokomish River, SF",2010,2010-06-21,172,2.2,0.8,1.4,3,INDX,Low,FOOT
"Skokomish River, SF",2010,2010-06-28,179,19,13.5,5.5,3,INDX,Low,FOOT
"Skokomish River, SF",2010,2010-06-01,152,21,19,2,3,INDX,High,FOOT
"Skokomish River, SF",2010,2010-06-15,166,16,15,1,3,INDX,Medium,FOOT
"Skokomish River, NF",2010,2010-04-20,110,15.6,13.3,2.3,3,INDX,Medium,FOOT
"Skokomish River, SF",2010,2010-04-13,103,19,13.5,5.5,3,INDX,Medium,FOOT
LeBar Creek (SF Skok trib),2010,2010-05-03,123,0.5,0,0.5,3,SUPP,High,FOOT
"Skokomish River, SF",2010,2010-04-30,120,22.5,19,3.5,3,INDX,High,FOOT
"Skokomish River, MS",2010,2010-05-08,128,8,6.3,1.7,3,INDX,Medium,RAFT
LeBar Creek (SF Skok trib),2010,2010-05-03,123,0.5,0,0.5,3,SUPP,High,FOOT
Little Quilcene River,2010,2010-03-26,85,3,2.7,0.3,4,INDX,Low,FOOT
"Skokomish River, MS",2010,2010-05-08,128,6.3,5.8,0.5,4,INDX,Medium,RAFT
Tahuya River,2010,2010-03-23,82,2.6,1,1.6,4,INDX,Low,FOOT
Skokomish R. Cont. As N.F. Skokomish R. @ R.M. 9.0,2010,2010-04-23,113,8,6.3,1.7,4,INDX,Medium,RAFT
Skokomish R. Cont. As N.F. Skokomish R. @ R.M. 9.0,2010,2010-04-23,113,6.3,5.3,1,4,INDX,Medium,RAFT
Duckabush River,2010,2010-05-11,131,4.3,2.6,1.7,4,SUPP,High,FOOT
LeBar Creek (SF Skok trib),2010,2010-04-28,118,0.5,0,0.5,4,SUPP,Medium,FOOT
"Skokomish River, MS",2010,2010-05-08,128,6.3,5.8,0.5,4,INDX,Medium,RAFT
LeBar Creek (SF Skok trib),2010,2010-04-28,118,0.5,0,0.5,4,SUPP,Medium,FOOT
"Skokomish River, MS",2010,2010-05-18,138,8,6.3,1.7,5,INDX,Medium,RAFT
"Skokomish River, SF",2010,2010-06-17,168,23.5,19,4.5,5,INDX,Medium,FOOT
Tahuya River,2010,2010-03-23,82,7.5,5,2.5,5,INDX,Low,FOOT
Skokomish R. Cont. As N.F. Skokomish R. @ R.M. 9.0,2010,2010-05-17,137,8,6.3,1.7,5,INDX,Medium,RAFT
Little Quilcene River,2010,2010-03-17,76,4.3,3,1.3,5,INDX,Medium,FOOT
"Skokomish River, SF",2010,2010-04-30,120,19,13.5,5.5,5,INDX,High,FOOT
"Skokomish River, MS",2010,2010-05-18,138,8,6.3,1.7,5,INDX,Medium,RAFT
"Skokomish River, SF",2010,2010-05-17,137,7.8,6.8,1,6,SUPP,Medium,FOOT
Vance Creek (SF Skok trib),2010,2010-05-18,138,7,3.5,3.5,6,SUPP,Medium,FOOT
Union River,2010,2010-04-22,112,1.7,0.3,1.4,6,INDX,Low,FOOT
Tahuya River,2010,2010-04-29,119,2.6,1,1.6,6,INDX,Low,FOOT
"Skokomish River, SF",2010,2010-06-01,152,19,13.5,5.5,6,INDX,High,FOOT
"Skokomish River, NF",2010,2010-04-19,109,12.7,9,3.7,6,INDX,Medium,FOOT
"Skokomish River, SF",2010,2010-05-02,122,13.5,10,3.5,6,INDX,Medium,FOOT
Tahuya River,2010,2010-04-20,110,2.6,1,1.6,7,INDX,Low,FOOT
"Skokomish River, SF",2010,2010-05-13,133,23.5,19,4.5,7,INDX,Medium,FOOT
"Skokomish River, SF",2010,2010-05-25,145,23.5,19,4.5,8,INDX,High,FOOT
Vance Creek (SF Skok trib),2010,2010-04-21,111,7,3.5,3.5,10,SUPP,Medium,FOOT
"Skokomish River, SF",2010,2010-05-25,145,19,13.5,5.5,13,INDX,High,FOOT
"Skokomish River, SF",2010,2010-05-11,131,19,13.5,5.5,15,INDX,Medium,FOOT
"Skokomish River, SF",2010,2010-05-19,139,19,13.5,5.5,17,INDX,Medium,FOOT
"Skokomish River, SF",2010,2010-06-17,168,19,13.5,5.5,17,INDX,Medium,FOOT
Dewatto River,2011,2011-01-27,27,1.8,0.3,1.5,0,INDX,Low,FOOT
Union River,2011,2011-01-27,27,1.6,0,1.6,0,SUPP,Medium,FOOT
Dewatto River,2011,2011-01-27,27,3,1.8,1.2,0,INDX,Low,FOOT
"Skokomish River, NF",2011,2011-03-30,89,13.3,12.7,0.6,0,INDX,Medium,FOOT
"Skokomish River, NF",2011,2011-03-30,89,15.6,13.3,2.3,0,INDX,Medium,FOOT
Vance Creek (SF Skok trib),2011,2011-04-06,96,1.7,0,1.7,0,INDX,Medium,FOOT
Vance Creek (SF Skok trib),2011,2011-04-06,96,2.9,1.7,1.2,0,INDX,Medium,FOOT
Vance Creek (SF Skok trib),2011,2011-04-06,96,3.5,2.9,0.6,0,INDX,Medium,FOOT
LeBar Creek (SF Skok trib),2011,2011-04-05,95,0.5,0,0.5,0,SUPP,Medium,FOOT
"Skokomish River, SF",2011,2011-04-08,98,19,13.5,5.5,0,INDX,Medium,FOOT
"Skokomish River, NF",2011,2011-04-11,101,12.7,12.3,0.4,0,INDX,Medium,FOOT
"Skokomish River, NF",2011,2011-04-11,101,13.3,12.7,0.6,0,INDX,Medium,FOOT
"Skokomish River, SF",2011,2011-04-13,103,23.5,19,4.5,0,INDX,Medium,FOOT
Vance Creek (SF Skok trib),2011,2011-04-14,104,1.7,0,1.7,0,SUPP,Medium,FOOT
Vance Creek (SF Skok trib),2011,2011-04-14,104,3.5,2.7,0.8,0,SUPP,Medium,FOOT
LeBar Creek (SF Skok trib),2011,2011-04-15,105,0.7,0,0.7,0,SUPP,Medium,FOOT
"Skokomish River, SF",2011,2011-04-19,109,13.5,10,3.5,0,INDX,Medium,FOOT
"Skokomish River, SF",2011,2011-04-19,109,19,13.5,5.5,0,INDX,Medium,FOOT
"Skokomish River, SF",2011,2011-04-20,110,7.8,6.8,1,0,SUPP,Medium,FOOT
Vance Creek (SF Skok trib),2011,2011-04-25,115,3.5,2.9,0.6,0,SUPP,Medium,FOOT
"Skokomish River, SF",2011,2011-04-25,115,9,8,1,0,INDX,Medium,FOOT
"Skokomish River, SF",2011,2011-04-25,115,0.8,0,0.8,0,INDX,Medium,FOOT
"Skokomish River, NF",2011,2011-04-27,117,12.7,12.3,0.4,0,INDX,Medium,FOOT
"Skokomish River, NF",2011,2011-04-27,117,13.3,12.7,0.6,0,INDX,Medium,FOOT
"Skokomish River, NF",2011,2011-04-27,117,15.6,13.3,2.3,0,INDX,Medium,FOOT
"Skokomish River, SF",2011,2011-05-03,123,19,13.5,5.5,0,INDX,Medium,FOOT
"Skokomish River, SF",2011,2011-05-03,123,23.5,19,4.5,0,INDX,Medium,FOOT
LeBar Creek (SF Skok trib),2011,2011-05-09,129,0.5,0,0.5,0,SUPP,Medium,FOOT
Vance Creek (SF Skok trib),2011,2011-05-11,131,2.9,1.7,1.2,0,SUPP,Medium,FOOT
Vance Creek (SF Skok trib),2011,2011-05-11,131,3.5,2.9,0.6,0,SUPP,Medium,FOOT
"Skokomish River, SF",2011,2011-05-18,138,7.8,6.8,1,0,SUPP,Medium,FOOT
"Skokomish River, SF",2011,2011-05-24,144,0.8,0,0.8,0,INDX,Medium,FOOT
Vance Creek (SF Skok trib),2011,2011-05-24,144,2.9,1.7,1.2,0,INDX,Medium,FOOT
Vance Creek (SF Skok trib),2011,2011-05-24,144,3.5,2.9,0.6,0,INDX,Medium,FOOT
"Skokomish River, SF",2011,2011-06-09,160,9,8,1,0,INDX,Medium,FOOT
"Skokomish River, SF",2011,2011-06-09,160,0.8,0,0.8,0,INDX,Medium,FOOT
"Skokomish River, SF",2011,2011-06-09,160,13.5,10,3.5,0,INDX,Medium,FOOT
Vance Creek (SF Skok trib),2011,2011-06-09,160,1.7,0,1.7,0,INDX,Low,FOOT
Vance Creek (SF Skok trib),2011,2011-06-09,160,2.9,1.7,1.2,0,INDX,Low,FOOT
Vance Creek (SF Skok trib),2011,2011-06-09,160,3.5,2.9,0.6,0,INDX,Low,FOOT
"Skokomish River, SF",2011,2011-06-10,161,2.2,0.8,1.4,0,INDX,Medium,FOOT
Browns Creek (SF Skok trib),2011,2011-06-14,165,0.5,0,0.5,0,SUPP,Medium,FOOT
"Skokomish River, SF",2011,2011-06-27,178,2.2,0.8,1.4,0,INDX,Medium,FOOT
"Skokomish River, SF",2011,2011-06-30,181,7.8,6.8,1,0,SUPP,Medium,FOOT
"Skokomish River, NF",2011,2011-07-05,186,13.3,12.7,0.6,0,INDX,Medium,FOOT
"Skokomish River, NF",2011,2011-07-06,187,12.7,12.3,0.4,0,INDX,Medium,FOOT
"Skokomish River, SF",2011,2011-07-11,192,2.2,0.8,1.4,0,INDX,Medium,FOOT
"Skokomish River, NF",2011,2011-07-06,187,9,8,1,0,SUPP,Medium,FOOT
LeBar Creek (SF Skok trib),2011,2011-07-08,189,0.5,0,0.5,0,SUPP,Low,FOOT
"Skokomish River, SF",2011,2011-07-15,196,7.8,6.8,1,0,SUPP,Low,F&SN
"Skokomish River, NF",2011,2011-03-01,60,15.6,13.3,2.3,0,INDX,Medium,FOOT
"Skokomish River, NF",2011,2011-03-01,60,13.3,12.7,0.6,0,INDX,Medium,FOOT
"Skokomish River, NF",2011,2011-03-01,60,12.7,12.3,0.4,0,INDX,Medium,FOOT
"Skokomish River, NF",2011,2011-03-01,60,12.3,9,3.3,0,INDX,Medium,FOOT
"Skokomish River, SF",2011,2011-03-01,60,5,2.2,2.8,0,INDX,Medium,FOOT
"Skokomish River, SF",2011,2011-03-01,60,7.8,6.8,1,0,INDX,Medium,FOOT
Duckabush River,2011,2011-02-09,40,2.7,2.3,0.4,0,INDX,Low,F&SN
Duckabush River,2011,2011-02-09,40,2.3,1.1,1.2,0,INDX,Low,F&SN
Duckabush River,2011,2011-02-09,40,1.1,0,1.1,0,INDX,Low,F&SN
Duckabush River,2011,2011-02-18,49,2.7,2.3,0.4,0,INDX,Medium-low,F&SN
Duckabush River,2011,2011-02-18,49,2.3,1.1,1.2,0,INDX,Medium-low,F&SN
Duckabush River,2011,2011-02-18,49,1.1,0,1.1,0,INDX,Medium-low,F&SN
Duckabush River,2011,2011-02-25,56,2.9,2.7,0.2,0,INDX,Low,SNOR
Duckabush River,2011,2011-02-25,56,2.3,1.1,1.2,0,INDX,Low,F&SN
Duckabush River,2011,2011-02-25,56,1.1,0,1.1,0,INDX,Low,F&SN
Duckabush River,2011,2011-03-04,63,2.9,2.7,0.2,0,INDX,Low,SNOR
Duckabush River,2011,2011-03-04,63,2.7,2.3,0.4,0,INDX,Low,F&SN
Duckabush River,2011,2011-03-04,63,1.1,0,1.1,0,INDX,Low,F&SN
Duckabush River,2011,2011-03-23,82,2.9,2.7,0.2,0,INDX,Medium,F&SN
Duckabush River,2011,2011-03-23,82,2.3,1.1,1.2,0,INDX,Medium,F&SN
Duckabush River,2011,2011-03-23,82,1.1,0,1.1,0,INDX,Medium,F&SN
Vance Creek (SF Skok trib),2011,2011-03-24,83,3.6,2.9,0.7,0,INDX,Medium,FOOT
Vance Creek (SF Skok trib),2011,2011-03-24,83,2.9,1.7,1.2,0,INDX,Medium,FOOT
Vance Creek (SF Skok trib),2011,2011-03-24,83,1.7,0,1.7,0,INDX,Medium,FOOT
Duckabush River,2011,2011-03-29,88,2.7,2.3,0.4,0,INDX,Medium,F&SN
Duckabush River,2011,2011-04-06,96,1.1,0,1.1,0,INDX,Low,F&SN
Duckabush River,2011,2011-04-21,111,1.1,0,1.1,0,INDX,Medium,F&SN
Duckabush River,2011,2011-04-28,118,2.7,2.3,0.4,0,INDX,Medium,F&SN
Duckabush River,2011,2011-04-28,118,1.1,0,1.1,0,INDX,Medium,F&SN
Duckabush River,2011,2011-05-05,125,2.7,2.3,0.4,0,INDX,Medium,F&SN
Duckabush River,2011,2011-05-05,125,2.3,1.1,1.2,0,INDX,Medium,F&SN
"Skokomish River, MS",2011,2011-04-19,109,5.8,3.6,2.2,0,INDX,High,RAFT
"Skokomish River, MS",2011,2011-04-19,109,3.6,2.1,1.5,0,INDX,High,RAFT
"Skokomish River, MS",2011,2011-04-27,117,3.6,2.1,1.5,0,INDX,High,RAFT
"Skokomish River, NF",2011,2011-05-04,124,13.3,12.7,0.6,0,INDX,High,RAFT
"Skokomish River, NF",2011,2011-05-04,124,12.7,12.3,0.4,0,INDX,High,RAFT
"Skokomish River, NF",2011,2011-05-04,124,12.3,9,3.3,0,INDX,High,RAFT
"Skokomish River, NF",2011,2011-05-04,124,9,8,1,0,INDX,Medium,RAFT
"Skokomish River, MS",2011,2011-05-04,124,5.8,3.6,2.2,0,INDX,High,RAFT
"Skokomish River, MS",2011,2011-05-04,124,3.6,2.1,1.5,0,INDX,High,RAFT
"Skokomish River, MS",2011,2011-05-11,131,3.6,2.1,1.5,0,INDX,High,RAFT
Duckabush River,2011,2011-05-13,133,2.9,2.3,0.6,0,INDX,High,F&SN
Duckabush River,2011,2011-05-13,133,2.3,1.1,1.2,0,INDX,High,F&SN
Duckabush River,2011,2011-05-13,133,1.1,0,1.1,0,INDX,High,F&SN
"Skokomish River, NF",2011,2011-05-20,140,12.7,12.3,0.4,0,INDX,Low,F&SN
"Skokomish River, MS",2011,2011-05-20,140,5.8,3.6,2.2,0,INDX,High,RAFT
"Skokomish River, MS",2011,2011-05-20,140,3.6,2.1,1.5,0,INDX,High,RAFT
Little Quilcene River,2011,2011-04-28,118,3,1.8,1.2,0,INDX,Medium,FOOT
Little Quilcene River,2011,2011-05-10,130,3,1.8,1.2,0,INDX,High,FOOT
Little Quilcene River,2011,2011-05-10,130,1.8,0,1.8,0,INDX,High,FOOT
"Skokomish River, MS",2011,2011-05-27,147,5.8,3.6,2.2,0,INDX,High,RAFT
"Skokomish River, MS",2011,2011-05-27,147,3.6,2.1,1.5,0,INDX,High,RAFT
"Skokomish River, NF",2011,2011-06-02,153,13.3,12.7,0.6,0,INDX,Medium,RAFT
"Skokomish River, NF",2011,2011-06-02,153,12.7,12.3,0.4,0,INDX,Medium,RAFT
"Skokomish River, NF",2011,2011-06-02,153,12.3,9,3.3,0,INDX,Medium,RAFT
"Skokomish River, MS",2011,2011-06-02,153,5.8,3.6,2.2,0,INDX,Medium,RAFT
"Skokomish River, MS",2011,2011-06-02,153,3.6,2.1,1.5,0,INDX,Medium,RAFT
"Skokomish River, MS",2011,2011-06-15,166,5.8,3.6,2.2,0,INDX,Medium,RAFT
Dewatto River,2011,2011-02-23,54,3,1.8,1.2,0,INDX,Low,FOOT
Tahuya River,2011,2011-03-01,60,7.5,5,2.5,0,INDX,Medium,FOOT
Dewatto River,2011,2011-02-18,49,3,1.8,1.2,0,INDX,Low,FOOT
Dewatto River,2011,2011-03-21,80,3,1.8,1.2,0,INDX,Medium,FOOT
Dewatto River,2011,2011-03-21,80,1.8,0.3,1.5,0,INDX,Medium,FOOT
Dewatto River,2011,2011-03-14,73,1.81,1.8,0.01,0,SPOT,High,FOOT
Dewatto River,2011,2011-03-29,88,3,1.8,1.2,0,INDX,Low,FOOT
Dewatto River,2011,2011-04-12,102,3,1.8,1.2,0,INDX,Low,FOOT
Dewatto River,2011,2011-04-12,102,1.8,0.3,1.5,0,INDX,Low,FOOT
Dewatto River,2011,2011-04-19,109,3,1.8,1.2,0,INDX,Low,FOOT
Dewatto River,2011,2011-04-19,109,1.8,0.3,1.5,0,INDX,Low,FOOT
Tahuya River,2011,2011-03-03,62,2.61,2.6,0.01,0,SPOT,Medium-high,FOOT
Tahuya River,2011,2011-03-25,84,11,10,1,0,INDX,Medium,FOOT
Tahuya River,2011,2011-04-06,96,1,0.6,0.4,0,INDX,Medium,FOOT
Tahuya River,2011,2011-04-07,97,11,10,1,0,INDX,Low,FOOT
Tahuya River,2011,2011-04-13,103,10,7.5,2.5,0,INDX,Low,FOOT
Tahuya River,2011,2011-04-13,103,11,10,1,0,INDX,Low,FOOT
Tahuya River,2011,2011-04-18,108,1,0.6,0.4,0,INDX,Medium-low,FOOT
Tahuya River,2011,2011-04-18,108,11,10,1,0,INDX,Medium-low,FOOT
Tahuya River,2011,2011-04-18,108,10,7.5,2.5,0,INDX,Medium-low,FOOT
Tahuya River,2011,2011-04-18,108,7.5,5,2.5,0,INDX,Medium-low,FOOT
Union River,2011,2011-03-30,89,4,3,1,0,INDX,Medium,FOOT
Union River,2011,2011-03-30,89,1.7,0.3,1.4,0,INDX,Medium,FOOT
Union River,2011,2011-04-05,95,4,3,1,0,INDX,Medium,FOOT
Union River,2011,2011-04-12,102,1.7,0.3,1.4,0,INDX,Medium,FOOT
Union River,2011,2011-04-12,102,4,3,1,0,INDX,Medium,FOOT
Union River,2011,2011-04-19,109,1.7,0.3,1.4,0,INDX,Medium,FOOT
Union River,2011,2011-04-19,109,4,3,1,0,INDX,Medium,FOOT
Union River,2011,2011-04-19,109,3,1.7,1.3,0,INDX,Medium,FOOT
Dewatto River,2011,2011-04-26,116,1.8,0.3,1.5,0,INDX,Low,FOOT
Dewatto River,2011,2011-04-26,116,3,1.8,1.2,0,INDX,Low,FOOT
Dewatto River,2011,2011-05-05,125,1.8,0.3,1.5,0,INDX,Low,FOOT
Dewatto River,2011,2011-05-05,125,3,1.8,1.2,0,INDX,Low,FOOT
Union River,2011,2011-04-26,116,4,3,1,0,INDX,Medium,FOOT
Tahuya River,2011,2011-04-26,116,5,2.6,2.4,0,INDX,Low,FOOT
Tahuya River,2011,2011-05-02,122,7.5,5,2.5,0,INDX,Low,FOOT
Tahuya River,2011,2011-05-02,122,5,2.6,2.4,0,INDX,Low,FOOT
Tahuya River,2011,2011-05-10,130,2.6,1,1.6,0,INDX,Low,FOOT
Tahuya River,2011,2011-05-10,130,5,2.6,2.4,0,INDX,Low,FOOT
Union River,2011,2011-04-26,116,1.7,0.3,1.4,0,INDX,Low,FOOT
Union River,2011,2011-04-26,116,3,1.7,1.3,0,INDX,Low,FOOT
Union River,2011,2011-05-11,131,1.7,0.3,1.4,0,INDX,Low,FOOT
Union River,2011,2011-05-11,131,4,3,1,0,INDX,Low,FOOT
Union River,2011,2011-05-11,131,3,1.7,1.3,0,INDX,Low,FOOT
Tahuya River,2011,2011-05-20,140,11,10,1,0,INDX,Low,FOOT
Tahuya River,2011,2011-05-20,140,10,7.5,2.5,0,INDX,Low,FOOT
Tahuya River,2011,2011-05-20,140,7.5,5,2.5,0,INDX,Low,FOOT
Vance Creek (SF Skok trib),2011,2011-03-31,90,0.01,0,0.01,0,SPOT,High,FOOT
Hatchery Creek (Duck trib),2011,2011-02-18,49,0.1,0,0.1,0,INDX,Medium,FOOT
Hatchery Creek (Duck trib),2011,2011-03-04,63,0.1,0,0.1,0,INDX,Medium,FOOT
Hatchery Creek (Duck trib),2011,2011-03-23,82,0.1,0,0.1,0,INDX,Medium,FOOT
"Skokomish River, MS",2011,2011-06-23,174,5.8,3.6,2.2,0,INDX,Medium,RAFT
"Skokomish River, MS",2011,2011-06-23,174,3.6,2.1,1.5,0,INDX,Medium,RAFT
Dewatto River,2011,2011-02-01,32,1.8,0.3,1.5,0,INDX,Medium,FOOT
Dewatto River,2011,2011-02-01,32,3,1.8,1.2,0,INDX,Medium,FOOT
Dewatto River,2011,2011-02-08,39,3.3,3,0.3,0,SUPP,Medium,FOOT
Dewatto River,2011,2011-02-17,48,5.5,4.8,0.7,0,INDX,High,FOOT
Dewatto River,2011,2011-02-17,48,3.3,3,0.3,0,SUPP,Medium,FOOT
Dewatto River,2011,2011-03-01,60,3.3,3,0.3,0,INDX,Medium,FOOT
Dewatto River,2011,2011-03-01,60,5.8,4.8,1,0,INDX,Medium,FOOT
Dewatto River,2011,2011-03-21,80,3.3,3,0.3,0,SUPP,Medium,FOOT
Dewatto River,2011,2011-03-21,80,5.8,4.8,1,0,SUPP,Medium,FOOT
Dewatto River,2011,2011-04-13,103,5.8,4.8,1,0,SUPP,Medium,FOOT
Duckabush River,2011,2011-02-28,59,6,4.8,1.2,0,INDX,Low,FOOT
Duckabush River,2011,2011-03-04,63,4.4,2.7,1.7,0,INDX,Medium,FOOT
Duckabush River,2011,2011-03-04,63,6,4.8,1.2,0,INDX,Medium,FOOT
Duckabush River,2011,2011-03-09,68,6,4.8,1.2,0,INDX,Medium,FOOT
Duckabush River,2011,2011-03-09,68,4.4,2.7,1.7,0,INDX,Medium,FOOT
Duckabush River,2011,2011-03-25,84,4.4,2.7,1.7,0,INDX,Medium,FOOT
